Hours_Studied,Previous_Scores,Extracurricular_Activities,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index,Students_Attendance,Target
4,93,No,8,3,78,94,Dropout
6,99,No,4,7,91,80,Graduate
2,54,Yes,9,5,33,75,Dropout
2,70,Yes,5,8,47,78,Dropout
4,98,No,6,0,78,82,Graduate
8,48,No,6,0,38,80,Graduate
7,82,Yes,8,4,70,80,Graduate
9,97,Yes,8,5,98,92,Graduate
8,92,Yes,4,7,87,85,Graduate
5,64,Yes,6,2,49,68,Graduate
2,64,Yes,6,5,41,88,Graduate
5,88,No,5,2,71,80,Dropout
8,60,No,4,7,54,62,Graduate
9,48,No,4,3,42,82,Graduate
9,94,No,9,1,91,80,Dropout
1,87,Yes,8,8,61,78,Graduate
9,77,No,9,9,74,92,Graduate
7,61,Yes,4,7,54,78,Graduate
9,82,Yes,5,5,81,78,Dropout
8,62,Yes,4,2,52,68,Dropout
1,88,Yes,9,1,65,53,Graduate
8,43,Yes,7,3,36,43,Dropout
8,68,No,7,3,61,83,Dropout
3,54,Yes,5,0,35,95,Graduate
1,40,Yes,8,8,15,81,Graduate
8,93,Yes,6,9,88,75,Graduate
3,69,No,4,7,45,89,Dropout
3,68,Yes,9,6,49,84,Dropout
1,59,Yes,8,5,33,52,Dropout
5,72,Yes,9,2,60,85,Graduate
7,80,No,8,3,71,57,Graduate
9,83,Yes,4,1,81,72,Graduate
7,75,No,6,6,67,60,Graduate
9,99,No,4,1,95,55,Graduate
8,61,Yes,6,9,58,54,Graduate
2,52,No,9,0,29,93,Graduate
1,46,No,5,5,21,96,Dropout
7,47,Yes,6,3,38,44,Graduate
7,67,Yes,8,7,60,45,Dropout
8,84,Yes,5,0,76,77,Dropout
5,82,Yes,9,8,69,42,Graduate
3,48,No,7,5,30,87,Graduate
8,64,No,5,1,57,51,Graduate
6,95,Yes,6,7,81,75,Graduate
3,55,Yes,5,4,36,72,Graduate
1,49,Yes,9,4,25,75,Dropout
3,50,No,5,4,27,72,Dropout
5,70,Yes,9,6,61,70,Graduate
3,51,No,7,6,34,60,Dropout
1,99,No,6,9,76,66,Graduate
5,70,No,8,6,57,66,Dropout
7,53,No,5,9,45,47,Graduate
7,90,Yes,4,1,76,95,Dropout
9,83,Yes,8,7,83,76,Dropout
3,71,Yes,5,0,50,71,Dropout
7,89,No,8,1,81,65,Graduate
1,92,No,4,6,66,41,Graduate
4,56,Yes,8,3,38,51,Graduate
4,74,No,8,9,56,61,Graduate
5,40,No,4,9,25,56,Graduate
7,68,No,4,8,56,46,Dropout
7,90,Yes,4,8,82,82,Graduate
4,43,Yes,7,2,23,43,Graduate
7,62,Yes,9,2,56,76,Graduate
3,67,No,9,8,46,77,Graduate
6,55,Yes,4,9,43,71,Graduate
2,51,Yes,9,7,30,50,Dropout
9,92,Yes,8,0,92,40,Graduate
5,60,No,4,5,45,64,Dropout
6,84,No,5,6,70,81,Graduate
4,56,No,4,7,36,91,Graduate
7,79,No,4,1,71,63,Dropout
9,52,No,9,0,49,92,Graduate
7,91,Yes,6,3,82,82,Graduate
1,97,Yes,8,0,71,95,Graduate
1,71,No,9,1,43,56,Graduate
9,76,No,8,2,77,47,Dropout
9,89,Yes,5,3,86,98,Graduate
4,54,No,7,5,34,84,Graduate
9,51,No,6,7,49,66,Dropout
3,88,No,5,8,69,91,Graduate
7,96,No,5,3,84,57,Dropout
6,54,No,8,0,41,66,Graduate
8,73,Yes,6,4,68,61,Graduate
9,45,Yes,8,4,44,55,Graduate
5,56,No,7,8,41,41,Graduate
1,87,No,8,5,58,44,Graduate
3,88,Yes,4,4,68,57,Graduate
8,96,No,8,9,94,42,Graduate
6,59,Yes,4,9,47,66,Graduate
8,48,No,5,4,40,93,Graduate
9,98,Yes,7,7,100,56,Graduate
4,44,Yes,9,0,23,55,Dropout
1,62,No,4,4,36,45,Dropout
1,72,No,7,0,47,90,Graduate
4,77,Yes,8,6,60,46,Graduate
7,95,No,9,6,83,89,Graduate
2,53,Yes,8,9,33,53,Graduate
3,56,No,5,7,36,77,Graduate
1,96,No,8,6,74,79,Graduate
5,58,No,4,8,42,54,Dropout
1,72,Yes,5,7,47,86,Dropout
8,40,Yes,7,7,31,86,Graduate
1,52,No,5,2,26,87,Graduate
1,85,Yes,7,9,58,72,Graduate
2,66,No,6,3,42,82,Graduate
2,45,Yes,4,3,18,66,Dropout
6,98,No,4,0,85,68,Graduate
7,45,Yes,7,5,36,96,Graduate
5,72,Yes,8,1,58,76,Dropout
1,69,Yes,9,8,45,44,Graduate
1,85,Yes,8,0,60,68,Graduate
3,74,Yes,6,0,56,71,Graduate
2,62,Yes,7,9,42,99,Graduate
5,49,No,6,5,33,92,Graduate
6,90,No,7,0,77,45,Dropout
7,58,Yes,6,2,51,41,Graduate
4,90,No,7,9,72,45,Graduate
7,67,Yes,4,1,57,85,Graduate
8,62,No,6,8,53,82,Graduate
1,43,No,6,4,16,43,Dropout
6,59,No,7,5,45,95,Graduate
8,58,No,5,1,49,68,Graduate
5,81,Yes,5,7,67,98,Dropout
4,66,No,4,5,49,64,Dropout
2,96,No,8,7,73,48,Dropout
6,73,No,8,7,65,95,Graduate
6,43,Yes,4,0,27,42,Graduate
1,95,No,8,6,72,65,Dropout
9,77,Yes,9,1,74,87,Dropout
6,46,Yes,9,7,38,82,Dropout
3,87,No,9,1,67,66,Dropout
4,46,Yes,9,3,28,75,Graduate
4,89,No,7,1,73,71,Graduate
3,91,No,5,6,72,40,Dropout
3,65,No,4,4,42,96,Graduate
3,65,No,7,8,47,92,Graduate
4,93,No,9,4,77,93,Graduate
7,58,No,4,7,49,55,Dropout
4,48,No,5,1,30,90,Dropout
9,59,Yes,8,2,54,87,Graduate
1,81,Yes,7,5,56,50,Dropout
8,84,No,5,6,75,65,Graduate
7,89,No,4,9,78,79,Dropout
2,55,Yes,6,7,32,94,Graduate
8,93,No,7,2,89,40,Graduate
1,56,Yes,4,6,29,65,Graduate
9,61,Yes,4,7,57,67,Graduate
9,52,No,5,9,48,92,Graduate
2,51,No,4,5,27,97,Graduate
7,49,Yes,7,3,38,48,Graduate
3,40,Yes,9,5,18,99,Graduate
7,71,No,7,8,66,98,Graduate
9,69,No,4,2,65,83,Graduate
4,47,Yes,5,1,27,61,Graduate
1,60,Yes,7,4,33,47,Dropout
2,61,Yes,6,6,37,97,Graduate
1,57,No,9,2,29,88,Graduate
5,41,No,8,4,26,81,Graduate
5,87,No,5,3,72,66,Dropout
7,83,Yes,5,6,77,78,Graduate
9,48,Yes,8,1,45,58,Graduate
9,42,No,8,6,41,64,Graduate
3,93,Yes,7,1,73,77,Dropout
3,65,Yes,4,2,43,60,Dropout
3,60,Yes,4,4,39,63,Dropout
4,69,Yes,6,6,54,63,Graduate
8,67,Yes,9,5,62,99,Graduate
6,75,No,4,6,63,99,Dropout
8,65,No,6,5,59,58,Graduate
1,73,No,6,0,46,89,Graduate
8,47,No,5,4,42,86,Graduate
4,49,No,5,0,30,41,Graduate
1,87,Yes,9,6,63,53,Graduate
8,94,Yes,7,3,89,92,Dropout
4,82,Yes,8,4,62,71,Graduate
6,89,No,8,0,77,81,Graduate
8,93,Yes,9,7,88,71,Dropout
4,53,Yes,6,3,35,67,Graduate
3,79,Yes,9,2,60,87,Graduate
9,94,No,8,0,92,78,Dropout
3,54,Yes,6,3,38,79,Graduate
9,56,Yes,8,2,56,81,Graduate
2,92,No,7,7,70,86,Graduate
2,57,No,5,8,35,79,Dropout
2,71,Yes,5,4,47,52,Dropout
6,77,No,6,8,66,51,Graduate
3,62,Yes,9,0,43,47,Graduate
9,85,No,8,6,81,54,Graduate
4,62,Yes,4,6,43,65,Dropout
1,74,Yes,7,5,46,51,Graduate
4,78,No,8,3,61,82,Graduate
1,54,No,4,8,27,90,Graduate
5,92,No,7,2,77,85,Dropout
4,63,No,7,0,43,66,Graduate
8,67,Yes,5,1,60,57,Graduate
8,55,No,6,2,48,84,Graduate
7,55,Yes,8,1,47,75,Dropout
3,79,Yes,7,5,60,88,Graduate
1,78,Yes,8,6,53,90,Graduate
1,45,No,7,4,19,66,Graduate
3,41,Yes,9,4,23,48,Dropout
6,93,Yes,5,6,81,94,Graduate
7,52,No,6,5,41,78,Graduate
6,83,Yes,4,7,71,40,Graduate
6,86,Yes,4,8,75,46,Dropout
6,98,Yes,9,1,89,65,Graduate
3,48,No,5,1,28,46,Dropout
6,73,Yes,7,0,60,91,Dropout
8,56,Yes,5,6,54,46,Graduate
2,66,Yes,6,3,41,47,Graduate
5,68,No,4,8,52,55,Graduate
1,76,No,8,5,53,42,Graduate
1,82,No,4,6,52,84,Graduate
5,61,Yes,6,6,47,49,Graduate
3,90,Yes,7,7,71,89,Graduate
4,63,Yes,5,3,42,46,Graduate
3,46,Yes,4,2,21,60,Dropout
1,73,Yes,4,2,48,92,Graduate
1,87,No,8,9,64,76,Graduate
5,51,Yes,5,7,38,70,Graduate
6,62,Yes,8,2,49,62,Graduate
3,54,No,8,7,35,96,Dropout
9,72,No,7,1,73,66,Dropout
5,96,Yes,4,4,81,95,Graduate
8,52,No,9,4,47,61,Graduate
1,62,No,5,6,36,78,Graduate
5,77,No,7,4,63,96,Graduate
3,71,Yes,9,8,52,66,Graduate
1,84,No,7,2,58,93,Graduate
4,89,Yes,7,8,77,88,Graduate
5,74,No,6,0,58,43,Graduate
7,40,Yes,6,2,33,63,Graduate
1,86,Yes,7,3,67,62,Graduate
3,97,Yes,6,5,76,87,Graduate
2,84,No,5,9,62,58,Graduate
9,44,No,4,7,37,81,Graduate
6,96,No,9,6,86,42,Graduate
3,52,Yes,5,7,37,66,Graduate
8,93,No,4,5,88,42,Graduate
8,44,No,6,5,38,67,Dropout
2,99,Yes,9,5,76,56,Graduate
6,71,No,5,2,57,70,Graduate
7,90,Yes,8,9,82,49,Graduate
2,60,No,7,3,35,88,Graduate
2,63,Yes,4,5,41,61,Graduate
1,99,Yes,4,6,75,69,Graduate
8,57,No,8,2,51,88,Graduate
1,60,Yes,8,3,34,60,Graduate
9,93,No,7,5,92,75,Dropout
6,49,No,6,0,39,92,Dropout
7,63,No,5,6,56,62,Graduate
7,79,No,5,0,69,77,Graduate
3,86,Yes,5,9,69,51,Dropout
2,60,Yes,6,8,40,64,Graduate
9,64,Yes,7,9,63,93,Dropout
8,91,No,5,8,86,96,Graduate
7,99,No,4,8,89,59,Dropout
9,96,Yes,4,3,94,88,Graduate
4,98,Yes,4,1,79,88,Graduate
4,62,No,8,6,44,81,Dropout
1,61,No,8,3,33,46,Graduate
8,43,No,6,4,36,68,Graduate
3,73,Yes,5,0,50,87,Graduate
7,95,No,8,9,94,68,Graduate
2,45,Yes,4,5,22,52,Graduate
2,67,No,8,6,44,42,Dropout
7,70,Yes,4,2,60,41,Graduate
6,74,No,5,9,64,55,Graduate
3,78,Yes,6,1,58,69,Graduate
9,81,Yes,7,9,78,77,Graduate
6,62,Yes,7,6,51,45,Graduate
6,45,No,4,0,30,84,Graduate
1,55,Yes,8,1,29,46,Graduate
4,41,Yes,8,2,22,44,Graduate
6,63,No,4,3,51,95,Graduate
6,56,Yes,5,4,45,46,Graduate
5,84,Yes,4,3,70,73,Dropout
1,40,No,5,9,10,71,Graduate
8,45,Yes,6,2,38,88,Graduate
5,44,No,6,0,30,52,Graduate
5,96,Yes,4,6,82,69,Graduate
7,84,No,6,9,74,64,Graduate
4,99,Yes,8,5,87,60,Graduate
6,94,Yes,5,1,77,99,Graduate
4,89,Yes,7,1,72,98,Graduate
3,68,No,7,2,51,60,Graduate
7,51,Yes,6,7,40,67,Dropout
8,78,Yes,5,7,72,87,Graduate
4,86,No,8,9,68,97,Graduate
2,42,No,7,9,22,59,Graduate
3,87,No,8,9,67,73,Graduate
1,40,Yes,8,9,18,44,Graduate
8,66,Yes,7,7,64,57,Graduate
3,87,Yes,7,6,66,99,Graduate
7,63,No,6,1,50,78,Graduate
5,83,No,5,0,68,82,Dropout
5,58,Yes,4,5,44,96,Graduate
7,98,Yes,5,7,90,96,Dropout
9,47,No,4,0,41,50,Graduate
5,94,No,7,2,83,93,Dropout
1,83,No,8,0,57,56,Graduate
1,86,Yes,5,9,64,87,Graduate
2,41,No,8,8,18,84,Dropout
6,69,No,5,6,62,61,Graduate
9,69,No,9,7,66,76,Dropout
8,88,No,5,8,85,59,Graduate
5,78,Yes,8,2,62,87,Dropout
1,84,No,9,9,62,99,Graduate
7,71,Yes,6,1,62,93,Graduate
5,40,Yes,7,5,26,93,Graduate
6,77,No,6,4,66,87,Graduate
7,52,No,6,3,43,87,Graduate
3,50,Yes,5,5,30,85,Graduate
3,49,No,7,5,25,45,Graduate
5,87,Yes,9,2,77,73,Dropout
6,98,No,5,1,88,53,Graduate
9,65,Yes,4,8,62,87,Graduate
5,95,Yes,5,7,82,62,Graduate
1,94,Yes,9,3,73,59,Graduate
4,59,No,8,5,44,52,Dropout
5,56,Yes,5,2,40,86,Graduate
5,56,Yes,4,7,39,83,Dropout
7,43,No,5,2,34,80,Graduate
4,44,No,9,1,27,71,Graduate
1,99,Yes,4,6,73,65,Graduate
5,62,Yes,7,2,46,89,Dropout
7,85,No,9,8,78,92,Graduate
6,91,Yes,5,2,80,53,Graduate
5,49,No,4,7,33,91,Graduate
4,85,No,9,1,68,96,Graduate
2,67,No,7,8,45,75,Graduate
4,72,Yes,8,0,56,47,Graduate
3,82,No,6,2,58,79,Graduate
1,65,Yes,4,1,37,61,Graduate
8,94,Yes,8,6,88,61,Graduate
5,89,No,7,4,75,55,Graduate
4,87,No,8,7,70,66,Graduate
8,68,No,5,1,62,95,Dropout
7,66,No,6,7,57,99,Dropout
2,57,Yes,4,6,32,99,Graduate
1,79,Yes,9,4,53,49,Graduate
4,99,No,7,1,82,64,Graduate
8,49,Yes,6,9,41,70,Graduate
2,97,No,7,6,75,60,Dropout
3,81,Yes,8,9,63,66,Dropout
1,44,Yes,7,3,17,56,Graduate
1,49,Yes,7,3,24,72,Graduate
3,89,No,8,7,69,70,Graduate
5,60,Yes,8,5,47,89,Graduate
3,63,Yes,6,8,43,81,Graduate
1,77,Yes,4,1,48,65,Graduate
1,42,Yes,8,4,17,60,Graduate
8,79,No,6,5,75,75,Graduate
2,70,Yes,7,7,54,40,Graduate
3,80,No,7,3,59,43,Dropout
2,76,No,9,6,56,43,Graduate
3,41,Yes,5,6,20,65,Graduate
7,41,Yes,8,3,34,43,Graduate
1,78,No,6,0,54,88,Graduate
8,88,No,9,2,83,48,Graduate
2,81,No,6,1,59,69,Graduate
3,83,Yes,4,2,63,90,Graduate
9,73,Yes,9,4,72,84,Dropout
7,81,No,6,0,70,43,Graduate
4,59,No,8,4,41,44,Dropout
5,72,No,6,1,54,84,Graduate
2,43,Yes,5,3,21,62,Graduate
8,84,Yes,7,5,83,55,Dropout
4,83,No,7,8,64,61,Graduate
9,50,Yes,9,9,51,76,Graduate
5,81,No,6,5,66,47,Graduate
9,86,Yes,6,9,83,87,Graduate
4,44,No,6,1,26,72,Graduate
5,64,Yes,6,7,49,94,Dropout
9,88,Yes,5,4,85,99,Graduate
8,99,Yes,8,8,95,77,Graduate
3,76,Yes,5,9,56,82,Graduate
1,73,Yes,5,8,50,55,Graduate
3,48,Yes,5,3,23,44,Dropout
4,45,Yes,7,0,26,55,Graduate
2,57,No,5,8,30,46,Graduate
1,53,No,6,8,28,90,Graduate
7,58,No,5,7,48,40,Graduate
8,53,Yes,6,4,46,48,Dropout
7,79,Yes,9,4,73,57,Graduate
5,56,Yes,8,9,45,84,Graduate
1,99,No,7,5,76,97,Graduate
7,74,No,8,0,71,86,Graduate
7,68,No,9,8,60,42,Graduate
9,81,No,8,4,77,63,Graduate
3,56,No,7,6,36,67,Graduate
9,98,No,6,7,96,49,Graduate
1,82,Yes,9,4,62,48,Dropout
1,47,No,9,2,22,52,Graduate
4,40,Yes,6,5,21,87,Graduate
9,84,No,6,6,79,74,Graduate
6,92,No,7,3,82,93,Graduate
3,75,Yes,5,8,55,62,Graduate
1,46,Yes,4,3,22,86,Graduate
4,85,Yes,5,9,70,56,Graduate
9,44,No,5,1,37,85,Graduate
3,63,No,8,8,42,46,Dropout
9,67,Yes,4,3,64,91,Dropout
7,82,No,6,3,72,55,Graduate
4,56,Yes,5,9,42,92,Graduate
3,76,No,7,0,56,79,Graduate
5,59,No,5,1,43,75,Graduate
5,42,No,6,2,24,59,Graduate
3,76,Yes,5,6,55,63,Graduate
9,65,No,9,8,64,86,Graduate
4,54,Yes,8,4,34,44,Dropout
5,90,Yes,8,3,78,84,Graduate
4,87,Yes,5,1,71,45,Graduate
5,47,Yes,8,6,33,67,Graduate
7,52,Yes,7,5,46,98,Graduate
9,87,Yes,4,6,86,44,Graduate
7,42,Yes,5,7,34,88,Graduate
5,40,Yes,7,8,26,78,Dropout
7,48,Yes,9,9,44,77,Graduate
5,70,No,7,4,53,41,Dropout
3,80,Yes,7,4,61,82,Graduate
7,93,No,9,3,84,78,Dropout
2,65,Yes,6,2,40,93,Dropout
9,56,No,5,6,53,60,Graduate
1,95,No,5,4,67,79,Graduate
6,73,No,5,6,58,76,Graduate
7,48,No,4,1,41,98,Graduate
8,95,No,7,8,89,57,Dropout
9,90,No,5,8,85,93,Graduate
2,52,Yes,8,8,33,87,Graduate
2,44,Yes,6,4,20,85,Graduate
5,80,Yes,9,9,66,51,Dropout
5,52,Yes,9,8,38,56,Dropout
6,40,Yes,4,0,25,76,Graduate
3,64,Yes,9,1,43,85,Graduate
8,86,No,6,9,79,77,Graduate
1,43,Yes,7,4,16,54,Graduate
6,75,No,9,4,67,46,Graduate
4,91,No,9,5,80,53,Graduate
1,49,No,8,7,26,89,Graduate
7,67,No,7,0,57,40,Dropout
9,96,No,5,9,91,77,Dropout
4,45,No,6,8,29,42,Graduate
4,66,Yes,9,3,48,76,Graduate
6,95,No,8,7,84,83,Graduate
3,51,No,6,4,33,70,Graduate
6,91,Yes,4,0,82,82,Graduate
7,87,Yes,8,8,81,52,Graduate
3,42,Yes,4,7,24,87,Dropout
7,85,Yes,9,4,81,57,Graduate
3,72,Yes,8,3,54,56,Graduate
2,49,Yes,5,7,25,56,Graduate
4,70,Yes,6,8,53,50,Graduate
8,54,No,6,6,48,59,Dropout
9,46,Yes,7,3,40,49,Dropout
7,75,No,8,6,66,68,Graduate
1,53,Yes,8,5,29,87,Dropout
3,95,Yes,4,2,73,73,Graduate
9,87,No,8,9,89,56,Dropout
1,53,Yes,6,2,27,93,Dropout
9,42,Yes,8,0,40,91,Dropout
8,88,Yes,7,4,83,81,Graduate
1,92,Yes,7,7,69,52,Dropout
6,85,Yes,6,5,72,83,Dropout
5,89,Yes,6,7,77,86,Dropout
6,42,Yes,6,6,32,78,Graduate
5,61,No,8,1,49,66,Graduate
6,58,Yes,8,7,44,93,Graduate
5,74,No,5,3,57,92,Graduate
5,51,No,9,4,34,65,Dropout
4,93,No,9,7,76,67,Dropout
3,44,No,4,4,22,52,Graduate
3,49,No,8,4,30,51,Graduate
4,80,No,5,5,67,83,Dropout
9,72,No,5,6,71,67,Dropout
2,52,Yes,7,8,29,41,Graduate
9,74,Yes,8,6,74,76,Dropout
1,90,Yes,5,5,67,96,Graduate
1,71,No,7,9,46,96,Dropout
5,50,Yes,4,3,34,73,Graduate
6,87,No,7,9,76,62,Graduate
6,77,No,4,1,64,97,Dropout
3,63,Yes,9,8,46,91,Graduate
7,74,No,9,9,68,84,Graduate
9,58,No,6,4,58,68,Dropout
8,45,Yes,6,4,41,74,Graduate
6,79,No,7,2,64,50,Graduate
8,93,Yes,6,2,84,87,Graduate
5,84,No,8,0,70,72,Graduate
8,83,No,7,4,77,90,Graduate
4,81,Yes,5,2,60,50,Graduate
8,74,Yes,8,1,65,48,Graduate
2,43,Yes,7,8,21,53,Graduate
5,72,No,9,9,60,48,Graduate
9,52,No,4,5,48,78,Graduate
4,95,Yes,6,2,77,87,Dropout
6,75,Yes,6,6,63,42,Dropout
1,93,Yes,6,8,68,68,Dropout
9,82,No,7,8,81,58,Dropout
1,58,No,8,0,29,75,Dropout
5,82,Yes,4,1,66,71,Dropout
4,51,Yes,6,7,36,46,Graduate
3,50,Yes,8,0,29,94,Graduate
6,45,No,5,2,32,67,Graduate
2,51,Yes,9,6,31,83,Graduate
3,66,Yes,5,7,45,57,Graduate
5,80,Yes,4,4,65,99,Graduate
9,64,No,6,1,57,44,Dropout
2,81,No,5,2,58,62,Graduate
8,42,Yes,9,8,38,94,Graduate
2,42,No,8,9,22,61,Graduate
5,59,Yes,8,6,48,65,Dropout
7,67,Yes,5,0,59,81,Dropout
8,62,Yes,6,2,58,51,Graduate
1,87,Yes,9,8,62,79,Graduate
6,42,No,4,6,30,58,Graduate
1,81,Yes,6,1,56,86,Dropout
2,63,Yes,7,5,40,40,Dropout
1,82,No,5,8,59,42,Graduate
5,79,Yes,7,3,65,66,Graduate
9,45,No,5,9,43,57,Dropout
6,59,Yes,4,1,48,89,Graduate
1,50,Yes,6,2,24,69,Graduate
1,71,Yes,9,6,51,41,Graduate
2,99,Yes,6,3,81,44,Graduate
9,66,No,5,6,62,68,Dropout
3,60,Yes,8,4,43,72,Graduate
1,83,No,7,7,63,81,Graduate
5,87,No,9,7,73,59,Graduate
7,89,No,9,4,76,69,Graduate
6,52,Yes,6,6,43,81,Graduate
1,61,No,6,5,34,44,Graduate
5,74,No,5,7,57,89,Graduate
5,86,No,8,8,72,60,Graduate
6,61,Yes,7,4,47,97,Graduate
3,67,Yes,8,6,52,54,Graduate
5,60,No,9,0,49,59,Graduate
7,85,No,8,7,77,47,Graduate
5,57,Yes,5,2,41,88,Graduate
5,70,No,8,0,56,70,Graduate
5,99,No,7,5,89,51,Dropout
3,85,No,9,7,65,60,Dropout
1,76,Yes,4,2,49,69,Dropout
5,60,No,9,0,48,66,Graduate
9,53,No,4,2,47,83,Graduate
1,64,Yes,7,4,37,65,Dropout
3,66,No,9,7,48,72,Dropout
4,79,Yes,9,8,61,65,Graduate
1,99,Yes,9,8,77,65,Graduate
1,99,Yes,9,3,75,75,Graduate
8,62,No,5,7,57,79,Dropout
2,70,No,6,4,45,40,Dropout
8,86,No,9,2,82,98,Graduate
7,99,No,5,4,90,54,Dropout
2,68,No,7,1,42,89,Graduate
6,86,No,9,5,74,40,Graduate
6,69,No,8,0,60,50,Graduate
3,90,No,9,5,73,94,Graduate
2,65,Yes,9,4,40,41,Graduate
1,59,No,4,8,32,40,Graduate
6,77,No,8,6,67,70,Graduate
5,58,Yes,9,5,46,83,Graduate
9,66,No,9,6,65,55,Graduate
1,64,Yes,9,9,42,93,Graduate
7,79,No,5,4,69,61,Graduate
5,77,No,7,0,62,81,Graduate
5,91,Yes,4,8,75,57,Dropout
2,62,Yes,9,4,40,86,Dropout
3,68,No,7,3,43,56,Graduate
7,54,Yes,4,5,42,69,Dropout
6,98,No,4,4,84,49,Dropout
2,42,No,4,0,15,74,Graduate
6,49,No,9,1,39,97,Graduate
2,54,No,5,3,26,60,Graduate
2,95,No,9,7,73,55,Graduate
2,55,No,9,4,34,45,Graduate
3,56,Yes,7,6,34,42,Graduate
2,58,Yes,6,1,37,80,Graduate
4,50,Yes,6,7,34,82,Graduate
9,87,No,6,4,85,60,Graduate
6,44,Yes,7,3,31,52,Graduate
1,44,No,8,8,18,57,Graduate
8,97,Yes,7,5,92,97,Graduate
7,53,No,4,3,44,93,Graduate
3,89,No,9,7,72,99,Dropout
1,65,No,8,2,40,63,Dropout
5,47,No,4,9,31,66,Graduate
4,44,No,9,1,25,93,Graduate
8,46,Yes,9,6,44,43,Graduate
1,55,No,4,3,27,61,Dropout
1,94,Yes,7,3,66,63,Graduate
4,53,No,6,9,34,79,Graduate
8,76,No,8,8,70,84,Graduate
5,95,No,9,1,81,49,Graduate
2,80,Yes,5,0,56,41,Graduate
6,43,No,9,6,30,79,Graduate
5,75,Yes,6,7,60,45,Graduate
2,87,No,9,2,64,87,Graduate
3,95,Yes,5,1,74,57,Graduate
9,56,Yes,7,3,52,56,Graduate
7,86,Yes,9,1,84,77,Graduate
7,75,No,8,1,66,84,Graduate
6,45,No,7,4,32,62,Graduate
8,55,Yes,5,9,47,85,Graduate
4,68,No,4,4,51,69,Dropout
8,75,No,9,7,67,97,Graduate
4,77,No,7,8,57,60,Graduate
8,76,Yes,9,1,71,49,Graduate
9,87,Yes,8,0,86,95,Graduate
3,96,No,9,2,77,82,Graduate
3,87,Yes,7,5,72,52,Graduate
2,49,No,6,4,24,51,Dropout
3,80,No,7,7,60,48,Graduate
3,75,Yes,5,7,55,43,Dropout
5,68,Yes,7,1,54,78,Graduate
5,53,No,8,8,39,63,Graduate
2,43,No,7,3,19,93,Dropout
6,83,No,7,0,68,73,Graduate
5,95,Yes,8,1,83,78,Graduate
6,81,Yes,7,5,72,80,Graduate
1,75,No,8,4,49,44,Dropout
5,89,No,5,6,74,54,Graduate
9,84,Yes,8,8,86,89,Graduate
2,52,No,5,5,26,43,Dropout
1,85,Yes,5,5,60,90,Graduate
9,57,Yes,8,1,54,91,Graduate
9,72,No,7,6,73,97,Graduate
9,60,No,9,1,61,78,Dropout
6,55,Yes,6,6,45,97,Dropout
8,54,No,9,7,57,47,Graduate
1,93,Yes,8,0,68,88,Graduate
4,96,Yes,7,8,72,84,Dropout
1,44,Yes,5,7,17,63,Graduate
8,45,No,4,8,37,92,Graduate
1,77,No,6,4,54,67,Dropout
3,42,No,9,3,22,94,Dropout
4,87,Yes,7,0,73,82,Graduate
